data_id;temp_1;temp_2;temp_3;pres_1;pres_2;motor_pos;sensor_time;system state;counter_active;padding;counter
0;190;190;257;4;2;0;328657;3;1;0;1889
1;191;190;257;6;9;0;328710;3;1;0;1828
2;191;190;257;3;1;0;328712;3;1;0;1828
3;192;190;257;-4;-9;0;328715;3;1;0;1828
4;190;190;257;6;-1;0;328718;3;1;0;1828
5;191;189;257;0;4;0;328721;3;1;0;1828
6;191;190;257;-6;-2;0;328725;3;1;0;1828
7;191;190;257;5;2;0;328728;3;1;0;1828
8;190;190;257;1;-1;0;328731;3;1;0;1828
9;190;190;257;1;2;0;328734;3;1;0;1828
10;191;190;257;3;5;0;328737;3;1;0;1828
11;190;191;257;10;-1;0;328741;3;1;0;1828
12;192;190;257;-3;-2;0;328744;3;1;0;1828
13;191;190;257;-2;6;0;328747;3;1;0;1828
14;190;189;257;5;-1;0;328751;3;1;0;1828
15;191;190;257;3;1;0;328753;3;1;0;1828
16;191;191;257;1;6;0;328757;3;1;0;1828
17;191;191;257;1;-4;0;328760;3;1;0;1767
18;191;190;257;6;-11;0;328763;3;1;0;1767
19;191;189;257;4;7;0;328766;3;1;0;1767
20;191;190;257;-7;-7;0;328770;3;1;0;1767
21;191;190;257;3;2;0;328773;3;1;0;1767
22;191;190;257;4;-2;0;328776;3;1;0;1767
23;190;190;257;-7;0;0;328779;3;1;0;1767
24;191;189;257;-1;0;0;328782;3;1;0;1767
25;190;191;257;10;-4;0;328785;3;1;0;1767
26;191;190;257;-13;3;0;328789;3;1;0;1767
27;191;189;257;1;-6;0;328792;3;1;0;1767
28;190;190;257;3;-2;0;328795;3;1;0;1767
29;191;190;257;-3;-8;0;328798;3;1;0;1767
30;192;190;257;0;-2;0;328802;3;1;0;1767
31;191;191;257;8;9;0;328805;3;1;0;1767
32;191;190;257;3;4;0;328808;3;1;0;1767
33;190;189;257;-4;-2;0;328812;3;1;0;1767
34;191;190;257;7;-1;0;328814;3;1;0;1767
35;191;189;257;-14;-6;0;328817;3;1;0;1767
36;191;190;257;6;4;0;328821;3;1;0;1706
37;191;189;257;4;6;0;328824;3;1;0;1706
38;190;189;257;-3;-1;0;328827;3;1;0;1706
