data_id;temp_1;temp_2;temp_3;pres_1;pres_2;motor_pos;system_status;sensor_time;reserved;reserved
0;0;0;0;28;121;-5;3;306868;0;0
1;0;0;0;35;120;-5;3;306918;0;0
2;0;0;0;30;126;-5;3;306920;0;0
3;0;0;0;40;105;-5;3;306922;0;0
4;0;0;0;36;98;-5;3;306924;0;0
5;0;0;0;35;91;-5;3;306926;0;0
6;0;0;0;27;106;-5;3;306928;0;0
7;0;0;0;47;116;-5;3;306930;0;0
8;0;0;0;41;105;-5;3;306932;0;0
9;0;0;0;42;127;-5;3;306934;0;0
10;0;0;0;48;124;-5;3;306936;0;0
11;0;0;0;35;115;-5;3;306938;0;0
12;0;0;0;42;104;-5;3;306940;0;0
13;0;0;0;37;106;-5;3;306942;0;0
14;0;0;0;38;115;-5;3;306944;0;0
15;0;0;0;52;106;-5;3;306946;0;0
16;0;0;0;40;109;-5;3;306948;0;0
17;0;0;0;42;113;-5;3;306950;0;0
18;0;0;0;38;124;-5;3;306952;0;0
19;0;0;0;36;115;-5;3;306954;0;0
20;0;0;0;42;106;-5;3;306956;0;0
21;0;0;0;49;127;-5;3;306958;0;0
22;0;0;0;39;99;-5;3;306960;0;0
23;0;0;0;31;108;-5;3;306962;0;0
24;0;0;0;37;116;-5;3;306964;0;0
25;0;0;0;40;129;-5;3;306966;0;0
26;0;0;0;53;121;-5;3;306968;0;0
27;0;0;0;48;98;-5;3;306970;0;0
28;0;0;0;41;115;-5;3;306972;0;0
29;0;0;0;35;94;-5;3;306974;0;0
30;0;0;0;31;116;-5;3;306976;0;0
31;0;0;0;39;109;-5;3;306978;0;0
32;0;0;0;42;108;-5;3;306980;0;0
33;0;0;0;35;112;-5;3;306982;0;0
34;0;0;0;39;102;-5;3;306984;0;0
35;0;0;0;38;105;-5;3;306986;0;0
36;0;0;0;51;96;-5;3;306988;0;0
37;0;0;0;45;102;-5;3;306990;0;0
38;0;0;0;31;118;-5;3;306992;0;0
39;0;0;0;35;118;-5;3;306994;0;0
40;0;0;0;47;110;-5;3;306996;0;0
41;0;0;0;23;103;-5;3;306998;0;0
42;0;0;0;38;110;-5;3;307000;0;0
43;0;0;0;63;124;-5;3;307002;0;0
44;0;0;0;52;106;-5;3;307004;0;0
45;0;0;0;42;113;-5;3;307006;0;0
46;0;0;0;38;101;-5;3;307008;0;0
47;0;0;0;23;116;-5;3;307010;0;0
48;0;0;0;51;112;-5;3;307012;0;0
49;0;0;0;35;122;-5;3;307014;0;0
50;0;0;0;28;117;-5;3;307016;0;0
51;0;0;0;64;113;-5;3;307018;0;0
52;0;0;0;29;110;-5;3;307020;0;0
53;0;0;0;45;113;-5;3;307022;0;0
54;0;0;0;25;102;-5;3;307024;0;0
55;0;0;0;38;104;-5;3;307026;0;0
56;0;0;0;44;102;-5;3;307028;0;0
