data_id;temp_1;temp_2;temp_3;pres_1;pres_2;motor_pos;sensor_time;system state;counter_active;padding;counter
0;190;189;257;7638;8050;1;7637;3;1;0;1888
1;191;190;257;7675;8073;1;7688;3;1;0;1826
2;191;189;257;7659;8075;1;7691;3;1;0;1826
3;191;189;257;7657;8069;1;7694;3;1;0;1826
4;190;191;257;7653;8063;1;7697;3;1;0;1826
5;191;189;257;7653;8068;1;7700;3;1;0;1826
6;191;191;257;7653;8065;1;7704;3;1;0;1826
7;191;190;257;7667;8063;1;7707;3;1;0;1826
8;191;190;257;7658;8062;1;7710;3;1;0;1826
9;191;190;257;7652;8068;1;7713;3;1;0;1826
10;190;190;257;7654;8065;1;7717;3;1;0;1826
11;190;189;257;7656;8060;1;7720;3;1;0;1826
12;191;190;257;7654;8058;1;7723;3;1;0;1826
13;191;190;257;7653;8064;1;7726;3;1;0;1826
14;190;190;257;7653;8067;1;7729;3;1;0;1826
15;191;190;257;7648;8062;1;7732;3;1;0;1826
16;191;190;257;7653;8050;1;7736;3;1;0;1765
17;190;190;257;7656;8062;1;7739;3;1;0;1765
18;191;191;257;7657;8065;1;7743;3;1;0;1765
19;190;191;257;7651;8064;1;7746;3;1;0;1765
20;190;189;257;7652;8060;1;7748;3;1;0;1765
21;191;190;257;7660;8069;1;7752;3;1;0;1765
22;190;190;257;7656;8057;1;7755;3;1;0;1765
23;190;190;257;7661;8057;1;7758;3;1;0;1765
24;190;191;257;7654;8055;1;7761;3;1;0;1765
25;191;190;257;7651;8059;1;7764;3;1;0;1765
26;191;191;257;7654;8056;1;7768;3;1;0;1765
27;191;190;257;7650;8060;1;7771;3;1;0;1765
28;190;190;257;7659;8064;1;7774;3;1;0;1765
29;192;190;257;7654;8073;1;7777;3;1;0;1765
30;190;189;257;7652;8069;1;7780;3;1;0;1765
31;190;190;257;7661;8062;1;7784;3;1;0;1765
32;191;190;257;7664;8062;1;7787;3;1;0;1765
33;191;190;257;7662;8058;1;7790;3;1;0;1765
34;191;190;257;7648;8063;1;7793;3;1;0;1765
35;191;190;257;7649;8056;1;7797;3;1;0;1705
36;190;191;257;7653;8060;1;7800;3;1;0;1705
37;190;190;257;7656;8066;1;7803;3;1;0;1705
38;190;190;257;7665;8070;1;7807;3;1;0;1705
39;190;190;257;7654;8058;1;7809;3;1;0;1705
40;191;190;257;7654;8062;1;7813;3;1;0;1705
41;190;190;257;7654;8062;1;7816;3;1;0;1705
42;190;190;257;7651;8058;1;7819;3;1;0;1705
43;191;190;257;7655;8064;1;7822;3;1;0;1705
44;191;190;257;7647;8058;1;7825;3;1;0;1705
45;190;190;257;7656;8065;1;7828;3;1;0;1705
46;190;190;257;7659;8058;1;7832;3;1;0;1705
47;191;189;257;7656;8061;1;7835;3;1;0;1705
48;190;190;257;7664;8066;1;7839;3;1;0;1705
49;190;190;257;7658;8068;1;7841;3;1;0;1705
50;190;190;257;7654;8059;1;7844;3;1;0;1705
51;191;190;257;7663;8073;1;7848;3;1;0;1705
52;191;190;257;7652;8050;1;7851;3;1;0;1705
53;191;189;257;7663;8063;1;7854;3;1;0;1705
54;191;189;257;7652;8065;1;7857;3;1;0;1644
55;192;190;257;7659;8057;1;7861;3;1;0;1644
56;192;190;257;7656;8061;1;7864;3;1;0;1644
57;191;190;257;7656;8077;1;7868;3;1;0;1644
58;191;190;257;7659;8060;1;7871;3;1;0;1644
59;191;189;257;7650;8060;1;7873;3;1;0;1644
60;191;190;257;7654;8059;1;7876;3;1;0;1644
61;190;190;257;7654;8062;1;7880;3;1;0;1644
62;191;190;257;7654;8063;1;7883;3;1;0;1644
63;190;191;257;7655;8060;1;7886;3;1;0;1644
64;191;190;257;7645;8068;1;7889;3;1;0;1644
65;191;190;257;7660;8059;1;7892;3;1;0;1644
66;192;190;257;7652;8064;1;7896;3;1;0;1644
67;191;190;257;7663;8071;1;7899;3;1;0;1644
68;191;190;257;7656;8056;1;7902;3;1;0;1644
69;191;190;257;7654;8064;1;7905;3;1;0;1644
70;191;190;257;7661;8066;1;7909;3;1;0;1644
71;192;190;257;7656;8065;1;7912;3;1;0;1644
72;191;190;257;7648;8059;1;7915;3;1;0;1644
73;191;190;257;7655;8062;1;7918;3;1;0;1583
74;190;190;257;7646;8060;1;7922;3;1;0;1583
75;191;190;257;7662;8062;1;7925;3;1;0;1583
76;191;190;257;7663;8057;1;7929;3;1;0;1583
77;191;190;257;7659;8066;1;7931;3;1;0;1583
78;191;189;257;7662;8063;1;7934;3;1;0;1583
79;190;189;257;7650;8066;1;7937;3;1;0;1583
80;191;189;257;7656;8062;1;7940;3;1;0;1583
81;191;190;257;7655;8059;1;7944;3;1;0;1583
82;191;190;257;7650;8075;1;7947;3;1;0;1583
83;191;190;257;7655;8062;1;7950;3;1;0;1583
84;191;189;257;7662;8073;1;7953;3;1;0;1583
85;192;189;257;7658;8061;1;7956;3;1;0;1583
86;191;190;257;7654;8053;1;7960;3;1;0;1583
87;190;190;257;7663;8053;1;7963;3;1;0;1583
88;191;190;257;7652;8067;1;7966;3;1;0;1583
89;191;189;257;7655;8061;1;7970;3;1;0;1583
90;191;189;257;7653;8075;1;7973;3;1;0;1583
91;191;190;257;7655;8069;1;7976;3;1;0;1583
92;191;190;257;7652;8054;1;7979;3;1;0;1522
93;191;190;257;7657;8057;1;7982;3;1;0;1522
94;191;189;257;7661;8055;1;7986;3;1;0;1522
95;191;189;257;7655;8053;1;7990;3;1;0;1522
96;190;190;257;7655;8066;1;7992;3;1;0;1522
97;191;190;257;7649;8057;1;7995;3;1;0;1522
98;190;189;257;7653;8065;1;7999;3;1;0;1522
99;191;191;257;7661;8066;1;8001;3;1;0;1522
100;191;189;257;7652;8063;1;8005;3;1;0;1522
101;190;190;257;7656;8052;1;8008;3;1;0;1522
102;192;190;257;7651;8069;1;8011;3;1;0;1522
103;191;190;257;7654;8058;1;8014;3;1;0;1522
104;190;190;257;7659;8065;1;8017;3;1;0;1522
105;190;190;257;7655;8059;1;8021;3;1;0;1522
106;191;190;257;7653;8063;1;8024;3;1;0;1522
107;190;190;257;7651;8061;1;8027;3;1;0;1522
108;192;190;257;7656;8067;1;8030;3;1;0;1522
109;190;190;257;7644;8062;1;8033;3;1;0;1522
110;190;191;257;7664;8057;1;8037;3;1;0;1522
111;190;189;257;7653;8067;1;8040;3;1;0;1462
112;191;190;257;7661;8064;1;8044;3;1;0;1462
113;191;190;257;7654;8069;1;8047;3;1;0;1462
114;190;190;257;7658;8056;1;8050;3;1;0;1462
115;191;190;257;7652;8064;1;8053;3;1;0;1462
116;190;189;257;7649;8062;1;8056;3;1;0;1462
117;191;191;257;7667;8054;1;8059;3;1;0;1462
118;191;190;257;7651;8058;1;8062;3;1;0;1462
119;190;190;257;7662;8060;1;8065;3;1;0;1462
120;192;190;257;7653;8069;1;8069;3;1;0;1462
121;192;190;257;7655;8070;1;8072;3;1;0;1462
122;190;190;257;7654;8063;1;8075;3;1;0;1462
123;191;189;257;7657;8068;1;8079;3;1;0;1462
124;191;190;257;7659;8067;1;8081;3;1;0;1462
125;191;190;257;7658;8067;1;8085;3;1;0;1462
126;191;190;257;7651;8061;1;8088;3;1;0;1462
127;191;189;257;7652;8063;1;8091;3;1;0;1462
128;191;189;257;7656;8063;1;8094;3;1;0;1462
129;191;189;257;7658;8070;1;8145;3;1;0;1402
130;191;190;257;7658;8062;1;8149;3;1;0;1402
131;191;190;257;7642;8063;1;8152;3;1;0;1402
132;191;191;257;7660;8062;1;8155;3;1;0;1402
133;191;190;257;7664;8062;1;8158;3;1;0;1402
134;191;191;257;7652;8060;1;8162;3;1;0;1341
135;191;189;257;7662;8067;1;8165;3;1;0;1341
136;191;191;257;7650;8061;1;8168;3;1;0;1341
137;191;190;257;7659;8069;1;8171;3;1;0;1341
138;190;190;257;7655;8059;1;8174;3;1;0;1341
139;190;190;257;7659;8058;1;8177;3;1;0;1341
140;190;189;257;7662;8065;1;8181;3;1;0;1341
141;191;190;257;7653;8063;1;8184;3;1;0;1341
142;191;189;257;7656;8056;1;8187;3;1;0;1341
143;191;190;257;7667;8059;1;8190;3;1;0;1341
144;191;190;257;7655;8064;1;8193;3;1;0;1341
145;191;190;257;7642;8061;1;8197;3;1;0;1341
146;190;190;257;7659;8051;1;8200;3;1;0;1341
147;191;190;257;7650;8058;1;8203;3;1;0;1341
148;190;189;257;7659;8062;1;8206;3;1;0;1341
149;191;190;257;7662;8047;1;8210;3;1;0;1341
150;191;190;257;7648;8066;1;8213;3;1;0;1341
151;191;189;257;7649;8060;1;8216;3;1;0;1341
152;191;190;257;7658;8058;1;8219;3;1;0;1281
153;190;189;257;7651;8060;1;8222;3;1;0;1281
154;190;190;257;7653;8059;1;8225;3;1;0;1281
155;191;189;257;7660;8053;1;8229;3;1;0;1281
156;191;190;257;7649;8064;1;8232;3;1;0;1281
157;191;189;257;7649;8073;1;8235;3;1;0;1281
158;191;189;257;7645;8067;1;8238;3;1;0;1281
159;191;190;257;7653;8063;1;8242;3;1;0;1281
160;191;190;257;7659;8065;1;8245;3;1;0;1281
161;191;190;257;7653;8057;1;8248;3;1;0;1281
162;191;190;257;7655;8061;1;8251;3;1;0;1281
163;190;190;257;7654;8051;1;8254;3;1;0;1281
164;192;190;257;7650;8064;1;8257;3;1;0;1281
165;190;190;257;7654;8070;1;8261;3;1;0;1281
166;191;190;257;7655;8072;1;8264;3;1;0;1281
167;190;191;257;7668;8064;1;8267;3;1;0;1281
168;192;190;257;7657;8063;1;8271;3;1;0;1281
169;191;190;257;7648;8076;1;8273;3;1;0;1281
170;191;191;257;7657;8064;1;8277;3;1;0;1281
171;191;190;257;7656;8068;1;8280;3;1;0;1220
172;190;189;257;7653;8068;1;8283;3;1;0;1220
173;190;190;257;7645;8064;1;8286;3;1;0;1220
174;191;189;257;7649;8066;1;8289;3;1;0;1220
175;191;190;257;7660;8052;1;8293;3;1;0;1220
176;190;191;257;7649;8068;1;8296;3;1;0;1220
177;190;190;257;7659;8061;1;8299;3;1;0;1220
178;191;190;257;7664;8051;1;8303;3;1;0;1220
179;189;190;257;7658;8053;1;8305;3;1;0;1220
180;191;190;257;7656;8068;1;8309;3;1;0;1220
181;189;189;257;7654;8057;1;8312;3;1;0;1220
182;191;190;257;7648;8068;1;8315;3;1;0;1220
183;192;190;257;7654;8058;1;8318;3;1;0;1220
184;192;190;257;7647;8064;1;8322;3;1;0;1220
185;191;190;257;7653;8053;1;8325;3;1;0;1220
186;191;190;257;7667;8058;1;8328;3;1;0;1220
187;191;190;257;7654;8066;1;8331;3;1;0;1220
188;191;189;257;7651;8056;1;8334;3;1;0;1220
189;191;190;257;7649;8065;1;8337;3;1;0;1220
190;190;190;257;7652;8071;1;8341;3;1;0;1220
191;191;190;257;7651;8060;1;8344;3;1;0;1159
192;191;190;257;7656;8057;1;8347;3;1;0;1159
193;191;190;257;7651;8065;1;8350;3;1;0;1159
194;191;190;257;7659;8061;1;8354;3;1;0;1159
195;191;190;257;7650;8059;1;8357;3;1;0;1159
196;191;189;257;7656;8065;1;8360;3;1;0;1159
197;191;190;257;7663;8065;1;8363;3;1;0;1159
198;192;189;257;7651;8063;1;8366;3;1;0;1159
199;191;190;257;7655;8074;1;8369;3;1;0;1159
200;190;190;257;7665;8049;1;8373;3;1;0;1159
201;191;189;257;7651;8067;1;8376;3;1;0;1159
202;191;189;257;7654;8064;1;8379;3;1;0;1159
203;191;190;257;7655;8056;1;8383;3;1;0;1159
204;191;190;257;7668;8070;1;8385;3;1;0;1159
205;191;191;257;7652;8067;1;8389;3;1;0;1159
206;192;190;257;7657;8068;1;8392;3;1;0;1159
207;191;190;257;7650;8053;1;8395;3;1;0;1159
208;191;191;257;7651;8059;1;8398;3;1;0;1159
209;191;190;257;7657;8062;1;8402;3;1;0;1159
210;191;190;257;7653;8062;1;8405;3;1;0;1098
211;191;190;257;7658;8056;1;8408;3;1;0;1098
212;190;190;257;7652;8065;1;8411;3;1;0;1098
213;190;190;257;7648;8071;1;8415;3;1;0;1098
214;191;190;257;7653;8067;1;8417;3;1;0;1098
215;190;190;257;7651;8068;1;8421;3;1;0;1098
216;191;190;257;7644;8075;1;8424;3;1;0;1098
217;192;189;257;7652;8066;1;8427;3;1;0;1098
218;190;190;257;7662;8066;1;8430;3;1;0;1098
219;191;190;257;7656;8062;1;8434;3;1;0;1098
220;191;189;257;7650;8064;1;8437;3;1;0;1098
