data_id;temp_1;temp_2;temp_3;pres_1;pres_2;motor_pos;system_status;sensor_time;reserved
0;0;0;0;53;101;-13;3;2630836;0
1;0;0;0;41;100;-13;3;2630872;0
2;0;0;0;47;116;-13;3;2630873;0
3;0;0;0;34;125;-13;3;2630874;0
4;0;0;0;40;103;-13;3;2630875;0
5;0;0;0;35;107;-13;3;2630876;0
6;0;0;0;28;111;-13;3;2630877;0
7;0;0;0;49;100;-13;3;2630878;0
8;0;0;0;36;101;-13;3;2630879;0
9;0;0;0;34;122;-13;3;2630880;0
10;0;0;0;42;123;-13;3;2630881;0
11;0;0;0;36;117;-13;3;2630882;0
12;0;0;0;33;103;-13;3;2630883;0
13;0;0;0;47;102;-13;3;2630884;0
14;0;0;0;33;121;-13;3;2630885;0
15;0;0;0;54;89;-13;3;2630886;0
16;0;0;0;41;96;-13;3;2630887;0
17;0;0;0;37;113;-13;3;2630888;0
18;0;0;0;41;110;-13;3;2630889;0
19;0;0;0;25;115;-13;3;2630890;0
20;0;0;0;41;92;-13;3;2630891;0
21;0;0;0;46;94;-13;3;2630892;0
22;0;0;0;40;106;-13;3;2630893;0
23;0;0;0;33;99;-13;3;2630894;0
24;0;0;0;57;114;-13;3;2630895;0
25;0;0;0;44;96;-13;3;2630896;0
26;0;0;0;41;99;-13;3;2630897;0
27;0;0;0;34;107;-13;3;2630898;0
28;0;0;0;50;96;-13;3;2630899;0
29;0;0;0;36;115;-13;3;2630900;0
30;0;0;0;55;101;-13;3;2630901;0
31;0;0;0;33;93;-13;3;2630902;0
32;0;0;0;35;103;-13;3;2630903;0
33;0;0;0;35;108;-13;3;2630904;0
34;0;0;0;40;97;-13;3;2630905;0
35;0;0;0;45;98;-13;3;2630906;0
36;0;0;0;36;109;-13;3;2630907;0
37;0;0;0;56;110;-13;3;2630908;0
38;0;0;0;36;107;-13;3;2630909;0
39;0;0;0;48;106;-13;3;2630910;0
40;0;0;0;43;98;-13;3;2630911;0
41;0;0;0;36;98;-13;3;2630912;0
42;0;0;0;42;120;-13;3;2630913;0
43;0;0;0;32;103;-13;3;2630914;0
44;0;0;0;46;118;-13;3;2630915;0
45;0;0;0;45;114;-13;3;2630916;0
46;0;0;0;31;114;-13;3;2630917;0
47;0;0;0;42;110;-13;3;2630918;0
48;0;0;0;38;104;-13;3;2630919;0
49;0;0;0;43;128;-13;3;2630920;0
50;0;0;0;43;100;-13;3;2630921;0
51;0;0;0;45;113;-13;3;2630922;0
52;0;0;0;35;112;-13;3;2630923;0
53;0;0;0;28;137;-13;3;2630924;0
54;0;0;0;31;103;-13;3;2630925;0
55;0;0;0;33;89;-13;3;2630926;0
56;0;0;0;37;118;-13;3;2630927;0
57;0;0;0;40;104;-13;3;2630928;0
58;0;0;0;47;108;-13;3;2630929;0
59;0;0;0;43;115;-13;3;2630930;0
60;0;0;0;55;108;-13;3;2630931;0
61;0;0;0;36;116;-13;3;2630932;0
62;0;0;0;46;112;-13;3;2630933;0
63;0;0;0;37;113;-13;3;2630934;0
64;0;0;0;41;121;-13;3;2630935;0
65;0;0;0;39;109;-13;3;2630936;0
66;0;0;0;50;100;-13;3;2630937;0
67;0;0;0;48;102;-13;3;2630938;0
68;0;0;0;49;104;-13;3;2630939;0
69;0;0;0;46;100;-13;3;2630940;0
70;0;0;0;47;99;-13;3;2630941;0
71;0;0;0;43;100;-13;3;2630942;0
72;0;0;0;33;113;-13;3;2630943;0
73;0;0;0;33;127;-13;3;2630944;0
74;0;0;0;41;119;-13;3;2630945;0
75;0;0;0;41;112;-13;3;2630946;0
76;0;0;0;48;104;-13;3;2630947;0
77;0;0;0;48;115;-13;3;2630948;0
78;0;0;0;41;108;-13;3;2630949;0
79;0;0;0;41;107;-13;3;2630950;0
80;0;0;0;41;110;-13;3;2630951;0
81;0;0;0;29;107;-13;3;2630952;0
