sample_id;temp_1;temp_2;temp_3;press_1;press_2;motor_pos;system_status;reserved_0;reserved_1;reserved_2;reserved_3;sensor_time;motor_time
0;164;-32768;-32768;3059;2471;0;0;0;0;0;0;78319;78287
1;165;-32768;-32768;3060;2469;0;0;0;0;0;0;78339;78287
2;166;-32768;-32768;3060;2472;0;0;0;0;0;0;78359;78359
3;168;-32768;-32768;3060;2473;0;0;0;0;0;0;78379;78359
4;163;-32768;-32768;3059;2468;0;0;0;0;0;0;78399;78359
5;161;-32768;-32768;3061;2471;0;0;0;0;0;0;78419;78406
6;166;-32768;-32768;3060;2469;0;0;0;0;0;0;78439;78406
7;166;-32768;-32768;3059;2471;0;0;0;0;0;0;78459;78446
8;167;-32768;-32768;3060;2470;0;0;0;0;0;0;78479;78446
9;165;-32768;-32768;3059;2469;0;0;0;0;0;0;78499;78493
10;154;-32768;-32768;3058;2467;0;0;0;0;0;0;78519;78493
11;165;-32768;-32768;3059;2470;0;0;0;0;0;0;78539;78537
12;174;-32768;-32768;3061;2472;0;0;0;0;0;0;78559;78537
13;158;-32768;-32768;3057;2466;0;0;0;0;0;0;78579;78537
14;165;-32768;-32768;3059;2470;0;0;0;0;0;0;78599;78595
15;163;-32768;-32768;3063;2471;0;0;0;0;0;0;78619;78595
16;170;-32768;-32768;3061;2472;0;0;0;0;0;0;78639;78638
17;157;-32768;-32768;3057;2464;0;0;0;0;0;0;78659;78638
18;169;-32768;-32768;3061;2473;0;0;0;0;0;0;78679;78638
19;148;-32768;-32768;3055;2462;0;0;0;0;0;0;78699;78688
20;162;-32768;-32768;3060;2468;0;0;0;0;0;0;78719;78688
21;160;-32768;-32768;3058;2470;0;0;0;0;0;0;78739;78688
22;164;-32768;-32768;3058;2469;0;0;0;0;0;0;78759;78741
23;154;-32768;-32768;3058;2467;0;0;0;0;0;0;78779;78741
24;159;-32768;-32768;3060;2468;0;0;0;0;0;0;78799;78787
25;164;-32768;-32768;3063;2472;0;0;0;0;0;0;78819;78787
26;177;-32768;-32768;3061;2472;0;0;0;0;0;0;78839;78787
27;140;-32768;-32768;3055;2461;0;0;0;0;0;0;78859;78844
28;149;-32768;-32768;3055;2464;0;0;0;0;0;0;78879;78844
29;158;-32768;-32768;3060;2468;0;0;0;0;0;0;78899;78886
30;167;-32768;-32768;3061;2467;0;0;0;0;0;0;78919;78886
31;164;-32768;-32768;3062;2470;0;0;0;0;0;0;78939;78886
32;164;-32768;-32768;3058;2468;0;0;0;0;0;0;78959;78945
33;165;-32768;-32768;3060;2473;0;0;0;0;0;0;78979;78945
34;172;-32768;-32768;3058;2471;0;0;0;0;0;0;78999;78989
35;155;-32768;-32768;3059;2468;0;0;0;0;0;0;79019;78989
36;156;-32768;-32768;3056;2466;0;0;0;0;0;0;79039;79036
37;165;-32768;-32768;3060;2471;0;0;0;0;0;0;79059;79036
38;169;-32768;-32768;3060;2471;0;0;0;0;0;0;79079;79036
39;161;-32768;-32768;3060;2469;0;0;0;0;0;0;79099;79089
40;164;-32768;-32768;3058;2471;0;0;0;0;0;0;79119;79089
41;160;-32768;-32768;3060;2467;0;0;0;0;0;0;79139;79089
42;172;-32768;-32768;3062;2472;0;0;0;0;0;0;79159;79144
43;159;-32768;-32768;3059;2468;0;0;0;0;0;0;79179;79144
44;166;-32768;-32768;3059;2471;0;0;0;0;0;0;79199;79187
45;164;-32768;-32768;3060;2469;0;0;0;0;0;0;79219;79187
46;158;-32768;-32768;3059;2469;0;0;0;0;0;0;79239;79187
47;161;-32768;-32768;3058;2469;0;0;0;0;0;0;79259;79241
48;169;-32768;-32768;3063;2472;0;0;0;0;0;0;79279;79241
49;170;-32768;-32768;3060;2471;0;0;0;0;0;0;79299;79291
50;159;-32768;-32768;3058;2469;0;0;0;0;0;0;79319;79291
51;157;-32768;-32768;3057;2466;0;0;0;0;0;0;79339;79336
52;164;-32768;-32768;3059;2471;0;0;0;0;0;0;79359;79336
53;172;-32768;-32768;3060;2470;0;0;0;0;0;0;79379;79336
54;174;-32768;-32768;3061;2472;0;0;0;0;0;0;79399;79393
55;163;-32768;-32768;3059;2471;0;0;0;0;0;0;79419;79393
56;162;-32768;-32768;3060;2470;0;0;0;0;0;0;79439;79436
57;171;-32768;-32768;3059;2471;0;0;0;0;0;0;79459;79436
58;158;-32768;-32768;3058;2469;0;0;0;0;0;0;79479;79436
59;163;-32768;-32768;3060;2469;0;0;0;0;0;0;79499;79489
60;167;-32768;-32768;3060;2471;0;0;0;0;0;0;79519;79489
61;164;-32768;-32768;3060;2467;0;0;0;0;0;0;79539;79489
62;169;-32768;-32768;3058;2471;0;0;0;0;0;0;79559;79545
63;166;-32768;-32768;3060;2471;0;0;0;0;0;0;79579;79545
