sample_id;temp_1;temp_2;temp_3;press_1;press_2;motor_pos;system_status;reserved_0;reserved_1;reserved_2;reserved_3;sensor_time;motor_time
0;173;-32768;-32768;3075;2413;0;0;0;0;0;0;87719;81047
1;173;-32768;-32768;3074;2417;0;0;0;0;0;0;87739;81047
2;156;-32768;-32768;3073;2409;0;0;0;0;0;0;87759;81047
3;165;-32768;-32768;3070;2433;0;0;0;0;0;0;87779;81047
4;153;-32768;-32768;3073;2411;0;0;0;0;0;0;87799;81047
5;168;-32768;-32768;3070;2435;0;0;0;0;0;0;87819;81047
6;163;-32768;-32768;3072;2419;0;0;0;0;0;0;87839;81047
7;157;-32768;-32768;3072;2417;0;0;0;0;0;0;87859;81047
8;156;-32768;-32768;3072;2417;0;0;0;0;0;0;87879;81047
9;165;-32768;-32768;3070;2439;0;0;0;0;0;0;87899;81047
10;160;-32768;-32768;3073;2414;0;0;0;0;0;0;87919;81047
11;166;-32768;-32768;3072;2421;0;0;0;0;0;0;87939;81047
12;171;-32768;-32768;3071;2429;0;0;0;0;0;0;87959;81047
13;169;-32768;-32768;3070;2438;0;0;0;0;0;0;87979;81047
14;171;-32768;-32768;3071;2434;0;0;0;0;0;0;87999;81047
15;161;-32768;-32768;3071;2420;0;0;0;0;0;0;88019;81047
16;178;-32768;-32768;3071;2442;0;0;0;0;0;0;88039;81047
17;168;-32768;-32768;3071;2429;0;0;0;0;0;0;88059;81047
18;164;-32768;-32768;3069;2428;0;0;0;0;0;0;88079;81047
19;160;-32768;-32768;3072;2420;0;0;0;0;0;0;88099;81047
20;174;-32768;-32768;3071;2422;0;0;0;0;0;0;88119;81047
21;172;-32768;-32768;3071;2428;0;0;0;0;0;0;88139;81047
22;163;-32768;-32768;3072;2426;0;0;0;0;0;0;88159;81047
23;157;-32768;-32768;3071;2420;0;0;0;0;0;0;88179;81047
24;157;-32768;-32768;3071;2417;0;0;0;0;0;0;88199;81047
25;160;-32768;-32768;3073;2418;0;0;0;0;0;0;88219;81047
26;173;-32768;-32768;3071;2427;0;0;0;0;0;0;88239;81047
27;165;-32768;-32768;3072;2417;0;0;0;0;0;0;88259;81047
28;156;-32768;-32768;3072;2413;0;0;0;0;0;0;88279;81047
29;164;-32768;-32768;3073;2415;0;0;0;0;0;0;88299;81047
30;165;-32768;-32768;3072;2417;0;0;0;0;0;0;88319;81047
31;167;-32768;-32768;3071;2427;0;0;0;0;0;0;88339;81047
32;159;-32768;-32768;3072;2415;0;0;0;0;0;0;88359;81047
33;164;-32768;-32768;3071;2423;0;0;0;0;0;0;88379;81047
34;158;-32768;-32768;3072;2417;0;0;0;0;0;0;88399;81047
35;174;-32768;-32768;3072;2434;0;0;0;0;0;0;88419;81047
36;163;-32768;-32768;3073;2411;0;0;0;0;0;0;88439;81047
37;153;-32768;-32768;3073;2412;0;0;0;0;0;0;88459;81047
38;175;-32768;-32768;3070;2433;0;0;0;0;0;0;88479;81047
39;167;-32768;-32768;3071;2432;0;0;0;0;0;0;88499;81047
40;167;-32768;-32768;3072;2424;0;0;0;0;0;0;88519;81047
41;162;-32768;-32768;3070;2428;0;0;0;0;0;0;88539;81047
42;169;-32768;-32768;3071;2432;0;0;0;0;0;0;88559;81047
43;170;-32768;-32768;3068;2439;0;0;0;0;0;0;88579;81047
44;168;-32768;-32768;3072;2416;0;0;0;0;0;0;88599;81047
45;162;-32768;-32768;3073;2419;0;0;0;0;0;0;88619;81047
46;166;-32768;-32768;3071;2426;0;0;0;0;0;0;88639;81047
47;158;-32768;-32768;3071;2423;0;0;0;0;0;0;88659;81047
48;160;-32768;-32768;3072;2417;0;0;0;0;0;0;88679;81047
49;168;-32768;-32768;3071;2430;0;0;0;0;0;0;88699;81047
50;153;-32768;-32768;3071;2417;0;0;0;0;0;0;88719;81047
51;160;-32768;-32768;3072;2423;0;0;0;0;0;0;88739;81047
52;167;-32768;-32768;3070;2438;0;0;0;0;0;0;88759;81047
53;161;-32768;-32768;3071;2422;0;0;0;0;0;0;88779;81047
54;153;-32768;-32768;3072;2417;0;0;0;0;0;0;88799;81047
55;160;-32768;-32768;3073;2415;0;0;0;0;0;0;88819;81047
56;170;-32768;-32768;3073;2425;0;0;0;0;0;0;88839;81047
57;167;-32768;-32768;3071;2426;0;0;0;0;0;0;88859;81047
58;160;-32768;-32768;3073;2410;0;0;0;0;0;0;88879;81047
59;163;-32768;-32768;3073;2416;0;0;0;0;0;0;88899;81047
60;153;-32768;-32768;3073;2408;0;0;0;0;0;0;88919;81047
61;160;-32768;-32768;3070;2426;0;0;0;0;0;0;88939;81047
62;173;-32768;-32768;3072;2432;0;0;0;0;0;0;88959;81047
63;160;-32768;-32768;3073;2419;0;0;0;0;0;0;88979;81047
