sample_id;temp_1;temp_2;temp_3;press_1;press_2;motor_pos;system_status;reserved_0;reserved_1;reserved_2;reserved_3;sensor_time;motor_time
0;-32768;1071;242;1728;4091;0;0;0;0;0;0;48360;41037
1;-32768;1036;163;1692;4092;0;0;0;0;0;0;48388;41037
2;-32768;1052;261;1761;4091;0;0;0;0;0;0;48402;41037
3;-32768;997;178;1706;4092;0;0;0;0;0;0;48416;41037
4;-32768;960;139;1696;4092;0;0;0;0;0;0;48430;41037
5;-32768;1008;197;1718;4092;0;0;0;0;0;0;48444;41037
6;-32768;1009;172;1711;4092;0;0;0;0;0;0;48458;41037
7;-32768;974;158;1700;4092;0;0;0;0;0;0;48471;41037
8;-32768;988;168;1705;4092;0;0;0;0;0;0;48485;41037
9;-32768;1018;196;1719;4092;0;0;0;0;0;0;48499;41037
10;-32768;978;135;1679;4092;0;0;0;0;0;0;48513;41037
11;-32768;978;164;1712;4092;0;0;0;0;0;0;48527;41037
12;-32768;1013;190;1718;4092;0;0;0;0;0;0;48541;41037
13;-32768;985;152;1685;4092;0;0;0;0;0;0;48555;41037
14;-32768;967;137;1689;4092;0;0;0;0;0;0;48569;41037
15;-32768;1013;183;1707;4092;0;0;0;0;0;0;48583;41037
16;-32768;996;166;1698;4092;0;0;0;0;0;0;48596;41037
17;-32768;964;132;1690;4092;0;0;0;0;0;0;48610;41037
18;-32768;1011;194;1717;4092;0;0;0;0;0;0;48624;41037
19;-32768;1006;175;1702;4092;0;0;0;0;0;0;48638;41037
20;-32768;971;152;1706;4092;0;0;0;0;0;0;48652;41037
21;-32768;994;174;1704;4092;0;0;0;0;0;0;48666;41037
22;-32768;1011;181;1708;4092;0;0;0;0;0;0;48680;41037
23;-32768;978;138;1682;4092;0;0;0;0;0;0;48694;41037
24;-32768;980;168;1707;4092;0;0;0;0;0;0;48708;41037
25;-32768;1016;196;1733;4092;0;0;0;0;0;0;48721;41037
26;-32768;982;165;1696;4092;0;0;0;0;0;0;48735;41037
27;-32768;972;165;1705;4092;0;0;0;0;0;0;48749;41037
28;-32768;1012;183;1716;4092;0;0;0;0;0;0;48763;41037
29;-32768;989;183;1707;4092;0;0;0;0;0;0;48777;41037
30;-32768;968;154;1707;4092;0;0;0;0;0;0;48791;41037
31;-32768;1009;196;1723;4092;0;0;0;0;0;0;48805;41037
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;32;32768;1006;179;1703;4092;0;0
0;0;-16717;0;41037;0;33;32768;969;141;1696;4092;0;0
0;0;-16703;0;41037;0;34;32768;998;199;1735;4092;0;0
0;0;-16690;0;41037;0;35;32768;1009;176;1704;4092;0;0
0;0;-16676;0;41037;0;36;32768;972;153;1710;4092;0;0
0;0;-16662;0;41037;0;37;32768;991;165;1696;4092;0;0
0;0;-16648;0;41037;0;38;32768;1018;184;1710;4092;0;0
0;0;-16634;0;41037;0;39;32768;979;145;1691;4092;0;0
0;0;-16620;0;41037;0;40;32768;985;149;1700;4092;0;0
0;0;-16606;0;41037;0;41;32768;1013;194;1718;4092;0;0
0;0;-16592;0;41037;0;42;32768;987;171;1716;4092;0;0
0;0;-16578;0;41037;0;43;32768;973;150;1695;4092;0;0
0;0;-16565;0;41037;0;44;32768;1013;180;1713;4092;0;0
0;0;-16551;0;41037;0;45;32768;998;179;1709;4092;0;0
0;0;-16537;0;41037;0;46;32768;973;138;1698;4092;0;0
0;0;-16523;0;41037;0;47;32768;1000;173;1704;4092;0;0
0;0;-16509;0;41037;0;48;32768;1003;174;1722;4092;0;0
0;0;-16495;0;41037;0;49;32768;968;157;1702;4092;0;0
0;0;-16481;0;41037;0;50;32768;983;170;1708;4092;0;0
0;0;-16467;0;41037;0;51;32768;1015;184;1719;4092;0;0
0;0;-16453;0;41037;0;52;32768;976;151;1692;4092;0;0
0;0;-16440;0;41037;0;53;32768;978;151;1703;4092;0;0
0;0;-16426;0;41037;0;54;32768;1009;173;1719;4092;0;0
0;0;-16412;0;41037;0;55;32768;984;151;1695;4092;0;0
0;0;-16398;0;41037;0;56;32768;963;156;1705;4092;0;0
0;0;-16384;0;41037;0;57;32768;1015;176;1711;4092;0;0
0;0;-16370;0;41037;0;58;32768;1003;170;1703;4092;0;0
0;0;-16356;0;41037;0;59;32768;968;133;1697;4092;0;0
0;0;-16342;0;41037;0;60;32768;999;171;1715;4092;0;0
0;0;-16328;0;41037;0;61;32768;1007;164;1703;4092;0;0
0;0;-16315;0;41037;0;62;32768;972;141;1701;4092;0;0
0;0;-16301;0;41037;0;63;32768;995;176;1715;4092;0;0
0;0;-16287;0;41037;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
